Title,link,Price,Details
Google Pixel 7a,https://images.ctfassets.net/t00ajdlq0g9p/5OZq8nAK6N3hIqEuyR8mec/4f9283e19c0d0d16845df7c03044d66e/google-pixel-7a-carbon-front-en.png?h=269&w=403&fm=webp&q=100,$24.95 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $702.00,"
iPhone 15 Plus,https://images.ctfassets.net/t00ajdlq0g9p/2YTR4iN748jrTweovn8Bzl/7d805c9da008dfbcc777fa625f12663a/apple-15-plus-black-pos1.png?h=269&w=403&fm=webp&q=100,$49.21 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,181.00,"
ThinkPhone by Motorola,https://images.ctfassets.net/t00ajdlq0g9p/e9KLl3DhfCGiQocRQYzo0/6cc60ed21fa3b024cafad1b98a955c5e/motorola-thinkPhone-front.png?h=269&w=403&fm=webp&q=100,$15.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,170.00,"
Google Pixel 8a,https://images.ctfassets.net/t00ajdlq0g9p/3XHBIibiEGL7L5lTLOWM6K/07c7ff8686e9c428a70255f8d9a04655/google-pixel-8a-obsidian-main.png?h=269&w=403&fm=webp&q=100,$28.29 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $796.00,"
Samsung Galaxy S23+,https://images.ctfassets.net/t00ajdlq0g9p/6cBs3ZbMHUcVfhPFEZVGJF/00b1b60335cb42ef29c22d2927cde988/samsung-galaxy-s23Plus-black-front.png?h=269&w=403&fm=webp&q=100,$30.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,729.00,"
iPhone 14 Plus,https://images.ctfassets.net/t00ajdlq0g9p/4PmF0rIknw3yg3US7GTZQo/c62eabc5130c9f2367dc7a4ecf6033f9/apple-14-Plus-starlight-pos1.png?h=269&w=403&fm=webp&q=100,$27.09 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $770.00,"
iPhone 14 Pro,https://images.ctfassets.net/t00ajdlq0g9p/01NYHxIykVNPWK5XwTgBqP/5e76264b1d92c821ac1c4ce89213967e/iPhone14Pro-SpaceBlack-pos1.png?h=269&w=403&fm=webp&q=100,$30.63 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $855.00,"
iPhone 14 Pro Max,https://images.ctfassets.net/t00ajdlq0g9p/GbhrhKuSbh7U7muBTatOc/da9e6b3bb7ff8e13d16829efd2293995/iPhone14ProMax-DeepPurple-pos1.png?h=269&w=403&fm=webp&q=100,$35.42 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $970.00,"
Samsung Galaxy Z Flip4,https://images.ctfassets.net/t00ajdlq0g9p/1hJZWajdB9gW00W6h8uiK4/bb5c23770eb80ad36e272a217095320f/samsung-z-flip-graphite-angle.png?h=269&w=403&fm=webp&q=100,$28.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,556.00,"
moto g 5G,https://images.ctfassets.net/t00ajdlq0g9p/9QLrTpDJU3T5QI4rCAOU3/654e0a5f00d95565d5bac214e2f2e3b4/motorola-g-5G-front.png?h=269&w=403&fm=webp&q=100,$0.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $364.00,"
moto g play (2023),https://images.ctfassets.net/t00ajdlq0g9p/3TjbsbVeEVNTo6CW4ll8cJ/cd2621d4b18e6e493d035d845c49c6dc/motorola-g-play-front.png?h=269&w=403&fm=webp&q=100,$3.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $249.99,"
iPhone 14,https://images.ctfassets.net/t00ajdlq0g9p/3WhfwrE47HJ0oljoL6kqIm/b36af9654a429f5ee9d4f06188a7b307/apple-14-midnight-pos1.png?h=269&w=403&fm=webp&q=100,$20.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,130.00,"
Samsung Galaxy S22+,https://images.ctfassets.net/t00ajdlq0g9p/4f7ogq7UyJ42U5tOw4fLkK/e3bc7f42a964092fc6568f04bde0384e/galaxy-s22_-black-front.png?h=269&w=403&fm=webp&q=100,$30.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,729.00,"
Samsung Galaxy Z Fold4,https://images.ctfassets.net/t00ajdlq0g9p/2naanS0jXWT6yZ4vGUlX56/3eecb7b3f400f78e2619ec8f70d155b6/samsung-z-fold-black-angle.png?h=269&w=403&fm=webp&q=100,$50.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $2,803.00,"
iPhone 15 Plus,https://images.ctfassets.net/t00ajdlq0g9p/2YTR4iN748jrTweovn8Bzl/7d805c9da008dfbcc777fa625f12663a/apple-15-plus-black-pos1.png?h=269&w=403&fm=webp&q=100,$38.34 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $920.00,"
iPhone 15,https://images.ctfassets.net/t00ajdlq0g9p/zuz8GcQIdTie4AglVvFsI/d072096af79bb3d8595479bb2b0ddafc/apple-15-black-pos1.png?h=269&w=403&fm=webp&q=100,$33.84 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $812.00,"
Samsung Galaxy A35 5G,https://images.ctfassets.net/t00ajdlq0g9p/6vEQgRZbrs5FYahNKupCPk/443b912bab744a2cdca08b78751aacdb/samsung-galaxy-a35-front.png?h=269&w=403&fm=webp&q=100,$22.08 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $620.09,"
iPhone SE,https://images.ctfassets.net/t00ajdlq0g9p/QcyKnkR7sGYwCYIG4ynOp/2a4738351de561d9a564b547c93d08c1/iPhone-SE3-midnight-pos1.png?h=269&w=403&fm=webp&q=100,$24.80 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $595.08,"
